"First.Protein.Description","CTRL_2","CTRL_3","CTRL_4","CTRL.myr_1","CTRL.myr_2","CTRL.myr_3","CTRL.myr_4","HBV_1","HBV_2","HBV_3","HBV_4","HBV.myr_1","HBV.myr_2","HBV.myr_3","HBV.myr_4","Pval","adjPval","negLog10_sca_adjPval","HBV.myr_vs_HBV","Diff_Abund","Protein_Names","Genes","ProtDesc"
"Glyoxalase domain-containing protein 4",17.4481887817383,17.3411445617676,17.4163188934326,16.2777233123779,16.7346839904785,17.4592399597168,17.1230506896973,16.2392711639404,15.788779258728,16.6678733825684,16.9837169647217,15.7156934738159,16.4442672729492,16.3157596588135,17.0070056915283,0.898809404015745,0.993555423949802,0.00280790143369389,0.0492286682128977,"Non-significant","GLOD4_HUMAN","GLOD4","Glyoxalase domain-containing protein 4"
"Hydroxyacylglutathione hydrolase, mitochondrial",17.1268253326416,17.1222820281982,16.9458560943604,16.3121128082275,16.6997356414795,17.1989631652832,17.1048030853271,16.4599418640137,16.1614627838135,16.814281463623,16.6630859375,16.23410987854,15.991415977478,16.4868011474609,17.2961101531982,0.946252235323427,0.993555423949802,0.00280790143369389,0.0225837230682728,"Non-significant","GLO2_HUMAN","HAGH","Hydroxyacylglutathione hydrolase, mitochondrial"
"Glutamine synthetase",14.3361158370972,14.7072839736938,13.7008295059204,14.6310796737671,13.7477464675903,15.384693145752,14.3261556625366,13.0138511657715,12.6780652999878,12.8283672332764,13.6475896835327,14.2012844085693,13.0443992614746,11.7583274841309,16.1194934844971,0.488287463767014,0.986278956908265,0.00600023281587292,-0.738907814025875,"Non-significant","GLNA_HUMAN","GLUL","Glutamine synthetase"
"1,4-alpha-glucan-branching enzyme",19.2259159088135,19.0230522155762,19.30837059021,17.9444313049316,18.2845840454102,19.1846714019775,19.2092113494873,17.4451675415039,17.2055072784424,17.999080657959,18.3475875854492,17.3361320495605,17.7784881591797,18.0078372955322,18.5836219787598,0.646471177406952,0.986278956908265,0.00600023281587292,-0.177184104919426,"Non-significant","GLGB_HUMAN","GBE1","1,4-alpha-glucan-branching enzyme"
"Gamma-glutamyl hydrolase",18.4541511535645,18.6361999511719,18.4176139831543,18.4822845458984,18.4772243499756,18.3478374481201,18.4026546478271,18.2042598724365,18.0725784301758,18.2431831359863,18.6001625061035,17.730297088623,17.9557075500488,17.8650989532471,17.9428577423096,0.0283835182308407,0.463597464437064,0.33385894799749,0.406555652618398,"Non-significant","GGH_HUMAN","GGH","Gamma-glutamyl hydrolase"
"GTP cyclohydrolase 1 feedback regulatory protein",14.8786430358887,14.0556812286377,15.5826272964478,14.0669422149658,15.2435789108276,15.9680414199829,15.5694074630737,14.4735908508301,12.7188663482666,13.9404630661011,13.5233688354492,13.5698518753052,13.3417730331421,13.3239250183105,13.2543382644653,0.491768166373352,0.986278956908265,0.00600023281587292,0.291600227355975,"Non-significant","GFRP_HUMAN","GCHFR","GTP cyclohydrolase 1 feedback regulatory protein"
"Gephyrin",14.0002489089966,12.9917430877686,14.8199348449707,12.7315664291382,13.1157646179199,15.2071514129639,13.7121667861938,11.9057855606079,13.257568359375,13.8441209793091,14.6357851028442,13.7018566131592,12.9795808792114,12.2637033462524,15.0006561279297,0.929511879180044,0.993555423949802,0.00280790143369389,-0.0756342411041242,"Non-significant","GEPH_HUMAN","GPHN","Gephyrin"
"Gelsolin",19.8593692779541,20.1078014373779,19.9645442962646,20.3142356872559,20.3851547241211,20.111499786377,20.4610691070557,20.4196624755859,20.6355991363525,20.3280239105225,20.1845779418945,20.1519107818604,20.1215267181396,20.1661319732666,20.3386497497559,0.129253567773958,0.74507150923758,0.127802043255849,0.197411060333224,"Non-significant","GELS_HUMAN","GSN","Gelsolin"
"Rho GDP-dissociation inhibitor 1",17.8870487213135,17.8456497192383,17.7601165771484,17.1119499206543,17.3524150848389,17.9160079956055,17.7408142089844,16.2319755554199,16.38232421875,17.1930923461914,17.3581104278564,16.4701328277588,16.4428596496582,16.99973487854,17.5399169921875,0.857958752234836,0.993555423949802,0.00280790143369389,-0.0717854499817001,"Non-significant","GDIR1_HUMAN","ARHGDIA","Rho GDP-dissociation inhibitor 1"
"Rab GDP dissociation inhibitor beta",18.6035137176514,18.4668579101563,18.6069831848145,17.7198963165283,18.2911567687988,18.8155498504639,18.4796180725098,17.4999465942383,17.3910503387451,18.2320880889893,18.2041416168213,17.3321857452393,17.3661861419678,17.8961963653564,18.429370880127,0.832303303266206,0.993555423949802,0.00280790143369389,0.0758218765258754,"Non-significant","GDIB_HUMAN","GDI2","Rab GDP dissociation inhibitor beta"
"Glycogen debranching enzyme",17.432092666626,17.2986793518066,17.1839256286621,16.5816440582275,16.9476375579834,17.7639122009277,17.430721282959,16.0951747894287,15.722188949585,16.5851535797119,16.7461986541748,15.8893518447876,16.3401947021484,16.6336479187012,17.2489185333252,0.538501427178124,0.986278956908265,0.00600023281587292,-0.240849256515499,"Non-significant","GDE_HUMAN","AGL","Glycogen debranching enzyme"
"Glycine dehydrogenase (decarboxylating), mitochondrial",15.7523183822632,15.0813665390015,14.4002885818481,13.0942459106445,13.7110567092896,15.9951114654541,15.4295015335083,11.8523225784302,14.0051097869873,15.6555252075195,13.750394821167,13.2389822006226,12.9339685440063,13.0663385391235,13.9785318374634,0.567714314608155,0.986278956908265,0.00600023281587292,0.511382818222049,"Non-significant","GCSP_HUMAN","GLDC","Glycine dehydrogenase (decarboxylating), mitochondrial"
"Glycine cleavage system H protein, mitochondrial",16.3169078826904,16.7693347930908,16.9856204986572,15.6054906845093,16.6475715637207,15.8829202651978,16.5975074768066,14.4705066680908,13.5701417922974,15.6032524108887,15.0047473907471,14.5828533172607,13.9934997558594,14.8395681381226,15.7658014297485,0.822317547507651,0.993555423949802,0.00280790143369389,-0.133268594741798,"Non-significant","GCSH_HUMAN","GCSH","Glycine cleavage system H protein, mitochondrial"
"Gamma-aminobutyric acid receptor subunit alpha-6",13.0832290649414,14.254563331604,13.5645189285278,15.5973653793335,16.2951717376709,15.5933885574341,16.542121887207,13.4504508972168,12.3201665878296,14.4126758575439,13.9659109115601,16.1164264678955,16.0517826080322,16.1337604522705,16.6275329589844,0.00672079286238184,0.232989449349245,0.632663745038998,-2.69507455825805,"Non-significant","GBRA6_HUMAN","GABRA6","Gamma-aminobutyric acid receptor subunit alpha-6"
"Guanylate-binding protein 1",16.2053623199463,16.123607635498,16.0386562347412,15.8903331756592,15.8231163024902,16.2902774810791,16.0238761901855,14.7707357406616,14.9091148376465,14.0344095230103,13.6482791900635,14.2406940460205,14.7566184997559,15.5530986785889,15.5866107940674,0.169369929764233,0.83333629223531,0.0791797040086014,-0.693620681762701,"Non-significant","GBP1_HUMAN","GBP1","Guanylate-binding protein 1"
"Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12",15.9411067962646,14.8043079376221,15.402322769165,14.5622005462646,13.4606456756592,15.658878326416,15.0541715621948,14.1059341430664,12.6311302185059,14.8878059387207,12.8172416687012,13.6260671615601,13.1127080917358,12.7098407745361,14.7015676498413,0.919234683568089,0.993555423949802,0.00280790143369389,0.0729820728302251,"Non-significant","GBG12_HUMAN","GNG12","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12"
"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1",15.9434423446655,16.2748317718506,16.2687759399414,15.6988649368286,14.7015571594238,15.740797996521,15.3379774093628,14.4123382568359,12.4979267120361,15.7883815765381,12.998818397522,11.8369359970093,13.1494617462158,15.7773246765137,15.8068971633911,0.86612696066628,0.993555423949802,0.00280790143369389,-0.218288660049451,"Non-significant","GBB1_HUMAN","GNB1","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1"
"Glycine amidinotransferase, mitochondrial",17.0209465026855,16.9405651092529,17.2133979797363,16.4466724395752,16.7510986328125,17.2090816497803,17.4646167755127,16.2236766815186,15.8182649612427,16.8513946533203,16.4437217712402,14.8840036392212,16.2556915283203,16.611255645752,17.2364635467529,0.879573038132156,0.993555423949802,0.00280790143369389,0.0874109268188512,"Non-significant","GATM_HUMAN","GATM","Glycine amidinotransferase, mitochondrial"
"Neutral alpha-glucosidase AB",16.8612804412842,16.278470993042,16.062032699585,16.9024105072021,16.5494537353516,16.824821472168,16.7230472564697,16.5692863464355,16.204231262207,16.203311920166,16.7984848022461,16.7613563537598,16.6861591339111,16.5843334197998,16.9801387786865,0.128908202330285,0.74507150923758,0.127802043255849,-0.309168338775649,"Non-significant","GANAB_HUMAN","GANAB","Neutral alpha-glucosidase AB"
"Guanidinoacetate N-methyltransferase",15.2552061080933,15.0964021682739,15.3476486206055,13.1201953887939,15.1603364944458,16.068826675415,15.0993518829346,12.8895854949951,12.1800422668457,15.1806554794312,14.9335594177246,12.899001121521,13.5208139419556,14.2934646606445,15.6678686141968,0.764774828753566,0.993555423949802,0.00280790143369389,-0.299326419830326,"Non-significant","GAMT_HUMAN","GAMT","Guanidinoacetate N-methyltransferase"
"Galactose mutarotase",16.3906154632568,16.0148143768311,16.293327331543,15.9248008728027,15.7178955078125,16.6671810150146,16.4200687408447,15.8960790634155,14.1100921630859,15.4820957183838,17.5987148284912,13.656720161438,13.9031000137329,15.7787523269653,16.6776371002197,0.482523282083776,0.986278956908265,0.00600023281587292,0.767693042755125,"Non-significant","GALM_HUMAN","GALM","Galactose mutarotase"
"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",17.7990283966064,17.2633247375488,17.7596607208252,16.853443145752,17.1679763793945,17.3785152435303,17.609489440918,15.9588241577148,16.205192565918,16.664587020874,16.648006439209,16.5923538208008,16.5309925079346,16.5981349945068,16.9845848083496,0.189666186385681,0.864605351573629,0.0631820806787217,-0.307363986969001,"Non-significant","GAL3A_HUMAN;GAL3B_HUMAN","GATD3A;GATD3B","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"
"4-aminobutyrate aminotransferase, mitochondrial",18.0655269622803,17.5488529205322,17.8189315795898,16.7327632904053,17.4773941040039,18.0535068511963,18.0173683166504,16.2018661499023,15.498384475708,16.7998123168945,16.2257232666016,15.9592142105103,16.6953105926514,16.7416381835938,17.7462387084961,0.235497081218487,0.917635544265979,0.0373297725483677,-0.604153871536301,"Non-significant","GABT_HUMAN","ABAT","4-aminobutyrate aminotransferase, mitochondrial"
"Glucose-6-phosphate isomerase",19.1054668426514,18.9373455047607,19.1229915618896,18.0963802337646,18.6411876678467,19.11598777771,19.2338676452637,17.6884002685547,17.3011474609375,18.3309001922607,18.4959297180176,17.3963031768799,17.8499794006348,18.234489440918,18.7807960510254,0.792637652827066,0.993555423949802,0.00280790143369389,-0.1112976074219,"Non-significant","G6PI_HUMAN","GPI","Glucose-6-phosphate isomerase"
"GDH/6PGL endoplasmic bifunctional protein",16.2584228515625,16.3763332366943,16.1227493286133,16.8363590240479,16.7192554473877,16.889253616333,16.8158340454102,16.6342868804932,16.7426509857178,16.564884185791,16.3469924926758,16.9357299804688,16.7247276306152,16.9495067596436,17.2083873748779,0.02640208346386,0.447592689448168,0.349117015437361,-0.382384300231926,"Non-significant","G6PE_HUMAN","H6PD","GDH/6PGL endoplasmic bifunctional protein"
"Glyceraldehyde-3-phosphate dehydrogenase",20.668025970459,20.4788608551025,20.629243850708,20.0638561248779,20.2681941986084,20.7129783630371,20.6382179260254,19.6071262359619,19.5588836669922,19.8248481750488,20.06201171875,19.4864807128906,19.5410652160645,19.7839031219482,20.3304004669189,0.925024273853944,0.993555423949802,0.00280790143369389,-0.0222449302673233,"Non-significant","G3P_HUMAN","GAPDH","Glyceraldehyde-3-phosphate dehydrogenase"
"Fumarate hydratase, mitochondrial",18.482629776001,18.4415054321289,18.7546825408936,17.3718452453613,17.8626976013184,18.2718276977539,18.337272644043,17.2454319000244,16.9188289642334,17.4201335906982,17.6638431549072,16.9741230010986,17.3546962738037,17.5291557312012,18.107063293457,0.553334955207753,0.986278956908265,0.00600023281587292,-0.179200172424327,"Non-significant","FUMH_HUMAN","FH","Fumarate hydratase, mitochondrial"
"Plasma alpha-L-fucosidase",14.2792549133301,15.2210245132446,15.1071071624756,15.2414579391479,15.3844089508057,15.3711843490601,14.3767290115356,14.018217086792,14.5486717224121,13.4605627059937,14.9687929153442,13.3083982467651,13.3991975784302,13.244987487793,14.0168085098267,0.102186792335909,0.700192218930129,0.154782719755626,0.75671315193175,"Non-significant","FUCO2_HUMAN","FUCA2","Plasma alpha-L-fucosidase"
"Tissue alpha-L-fucosidase",17.3357219696045,17.4796543121338,17.2989120483398,17.0074653625488,17.4121723175049,17.5360050201416,17.5450401306152,16.8379974365234,16.553689956665,16.8258037567139,17.3363418579102,16.5006885528564,16.4660263061523,16.6327247619629,16.7894821166992,0.175912217273764,0.837622624928722,0.076951600492307,0.291227817535425,"Non-significant","FUCO_HUMAN","FUCA1","Tissue alpha-L-fucosidase"
"Alpha-ketoglutarate-dependent dioxygenase FTO",14.0498456954956,13.4537057876587,16.5738143920898,14.889594078064,17.1733551025391,16.7398719787598,17.1970157623291,17.5704936981201,11.4229946136475,13.7996578216553,17.8553924560547,11.889931678772,18.0305328369141,14.0343360900879,17.5055160522461,0.92719412096596,0.993555423949802,0.00280790143369389,-0.202944517135625,"Non-significant","FTO_HUMAN","FTO","Alpha-ketoglutarate-dependent dioxygenase FTO"
"Formimidoyltransferase-cyclodeaminase",16.267053604126,15.7517871856689,15.8060884475708,15.7400283813477,15.6642217636108,16.9169750213623,16.4280338287354,15.5489873886108,13.1645774841309,15.3735580444336,16.2316989898682,12.86656665802,15.2452812194824,15.8312454223633,16.8089637756348,0.922827584193663,0.993555423949802,0.00280790143369389,-0.108308792114251,"Non-significant","FTCD_HUMAN","FTCD","Formimidoyltransferase-cyclodeaminase"
"Follistatin-related protein 1",17.8451709747314,18.2969074249268,17.9589653015137,18.0704727172852,18.0396785736084,17.6918182373047,17.7420463562012,17.8171138763428,17.6357173919678,17.9497871398926,17.9769954681396,17.2724838256836,17.3762531280518,17.3210906982422,17.5122776031494,0.00343966279521369,0.168543476965471,0.773288051049986,0.474377155303948,"Non-significant","FSTL1_HUMAN","FSTL1","Follistatin-related protein 1"
"Ferritin light chain",20.5089321136475,20.4465847015381,20.2865180969238,19.7448425292969,20.1257934570313,20.0332984924316,20.1987571716309,18.7766513824463,19.1016902923584,19.6624088287354,19.6440811157227,17.3136711120605,18.3052730560303,18.7890205383301,19.1356925964355,0.104023665995024,0.700192218930129,0.154782719755626,0.910293579101598,"Non-significant","FRIL_HUMAN","FTL","Ferritin light chain"
"Ferritin heavy chain",17.7402019500732,17.7964572906494,17.6751022338867,17.3367595672607,17.511791229248,17.2289409637451,17.3500499725342,16.0814228057861,16.6278190612793,16.961799621582,16.4343376159668,15.1055812835693,15.8779067993164,16.3561382293701,16.413272857666,0.158054055190348,0.794893321325043,0.0996911519329489,0.588119983673099,"Non-significant","FRIH_HUMAN","FTH1","Ferritin heavy chain"
"Farnesyl pyrophosphate synthase",18.1535320281982,17.9763679504395,18.0838165283203,17.2873611450195,17.7606029510498,18.5295219421387,18.0252914428711,16.9242095947266,16.6952018737793,17.8627033233643,17.7186126708984,16.2871608734131,16.9439334869385,17.5648422241211,18.0817432403564,0.873303198220984,0.993555423949802,0.00280790143369389,0.0807619094848739,"Non-significant","FPPS_HUMAN","FDPS","Farnesyl pyrophosphate synthase"
"Fibromodulin",19.7194728851318,20.008373260498,19.7070732116699,20.0043201446533,20.1586074829102,19.7587490081787,19.9274272918701,19.8917484283447,19.8106155395508,19.9991931915283,19.7861976623535,19.9052600860596,19.8570938110352,19.9370555877686,19.8534412384033,0.770243447538382,0.993555423949802,0.00280790143369389,-0.01627397537235,"Non-significant","FMOD_HUMAN","FMOD","Fibromodulin"
"Filamin-B",17.9346179962158,17.6588172912598,17.9833831787109,16.955286026001,17.2848777770996,18.1664810180664,17.8161716461182,16.4692344665527,16.2323570251465,17.2859077453613,17.2657337188721,16.1307277679443,16.61549949646,17.0406112670898,17.6040325164795,0.936583485556498,0.993555423949802,0.00280790143369389,-0.0344095230102539,"Non-significant","FLNB_HUMAN","FLNB","Filamin-B"
"Filamin-A",16.9948062896729,16.9163341522217,16.8892059326172,16.7097969055176,16.886100769043,16.8807067871094,16.6634464263916,16.8746204376221,17.0334129333496,16.8974437713623,16.4436054229736,16.4510898590088,16.7111148834229,16.4712562561035,16.5522785186768,0.128184796873333,0.74507150923758,0.127802043255849,0.265835762023901,"Non-significant","FLNA_HUMAN","FLNA","Filamin-A"
"Peptidyl-prolyl cis-trans isomerase FKBP2",17.3936576843262,17.1384811401367,17.3516807556152,16.9973564147949,17.2363700866699,17.0970134735107,17.3396072387695,16.7673435211182,16.5537376403809,17.1752185821533,17.1824817657471,16.5052433013916,16.4075965881348,16.3401393890381,16.6639747619629,0.0590873908148252,0.60090783386077,0.221192134178927,0.440456867218025,"Non-significant","FKBP2_HUMAN","FKBP2","Peptidyl-prolyl cis-trans isomerase FKBP2"
"Peptidyl-prolyl cis-trans isomerase FKBP1A",18.2535419464111,18.2984600067139,18.2143039703369,17.7890110015869,17.7606945037842,18.2521572113037,18.2113513946533,17.3565120697021,17.5302314758301,17.6704978942871,17.7270565032959,16.8527603149414,17.691089630127,17.3932991027832,17.8002738952637,0.581291154005177,0.986278956908265,0.00600023281587292,0.136718749999975,"Non-significant","FKB1A_HUMAN","FKBP1A","Peptidyl-prolyl cis-trans isomerase FKBP1A"
"Fibronectin",20.2324886322021,20.4980907440186,20.1890983581543,21.0717449188232,20.9665660858154,20.5710792541504,20.8016052246094,21.3311824798584,21.4490661621094,21.2278385162354,21.1630687713623,21.2754077911377,21.1732387542725,21.3887214660645,21.5678520202637,0.599691859263087,0.986278956908265,0.00600023281587292,-0.0585160255432235,"Non-significant","FINC_HUMAN","FN1","Fibronectin"
"Filaggrin-2",15.9020881652832,15.5799140930176,16.3221454620361,16.2471714019775,15.5351934432983,17.840518951416,15.2786092758179,15.793628692627,15.8142070770264,14.9539413452148,12.8197565078735,15.023585319519,15.3358020782471,14.6906366348267,15.2450847625732,0.770021148539454,0.993555423949802,0.00280790143369389,-0.228393793106076,"Non-significant","FILA2_HUMAN","FLG2","Filaggrin-2"
"Fibrinogen gamma chain",19.0907745361328,19.2346248626709,19.0570430755615,20.0127983093262,19.949462890625,19.774564743042,19.8179759979248,19.9917812347412,19.942892074585,19.9108619689941,19.9800567626953,19.9706649780273,19.8328742980957,19.9711570739746,20.117790222168,0.799051448937365,0.993555423949802,0.00280790143369389,-0.0167236328125,"Non-significant","FIBG_HUMAN","FGG","Fibrinogen gamma chain"
"Fibrinogen beta chain",19.6691513061523,19.7665100097656,19.7903366088867,20.6726779937744,20.6050987243652,20.3439159393311,20.5222721099854,20.5323524475098,20.5277500152588,20.4855194091797,20.7057933807373,20.5268630981445,20.4335021972656,20.6298942565918,20.7734203338623,0.761312978619761,0.993555423949802,0.00280790143369389,-0.0280661582946493,"Non-significant","FIBB_HUMAN","FGB","Fibrinogen beta chain"
"Fibrinogen alpha chain",18.1279735565186,18.4715919494629,18.2250423431396,19.1579170227051,19.0841846466064,19.0354518890381,19.0067977905273,19.2421970367432,19.1435508728027,19.052059173584,19.1914215087891,19.3941802978516,19.123161315918,19.4244232177734,19.5817966461182,0.0960055826452477,0.700192218930129,0.154782719755626,-0.22358322143555,"Non-significant","FIBA_HUMAN","FGA","Fibrinogen alpha chain"
"Complement factor H-related protein 2",16.0236587524414,16.2983684539795,15.7776203155518,17.0404720306396,17.0051975250244,16.8031349182129,16.7424278259277,16.9295711517334,17.3341159820557,17.0389194488525,16.9753894805908,17.4706420898438,17.2802181243896,17.3445739746094,17.8761157989502,0.0447545650703254,0.523333249931453,0.281221671522491,-0.423388481140151,"Non-significant","FHR2_HUMAN","CFHR2","Complement factor H-related protein 2"
"Fibroleukin",14.9486179351807,14.6076717376709,14.1987447738647,14.8440141677856,14.4402656555176,14.6091957092285,14.6866207122803,14.9015836715698,14.4787063598633,14.5915632247925,12.9271478652954,14.5323619842529,14.5693330764771,14.9765014648438,13.9424686431885,0.595802854535347,0.986278956908265,0.00600023281587292,-0.280416011810326,"Non-significant","FGL2_HUMAN","FGL2","Fibroleukin"
"Fibrinogen-like protein 1",18.2101669311523,18.2263565063477,17.8458080291748,18.4924602508545,18.5530586242676,18.4128799438477,18.3495655059814,18.4995727539063,18.4111518859863,18.4154644012451,18.7405872344971,18.4683094024658,18.6011791229248,18.5654258728027,18.660758972168,0.543737054752355,0.986278956908265,0.00600023281587292,-0.0572242736816264,"Non-significant","FGL1_HUMAN","FGL1","Fibrinogen-like protein 1"
"Fibroblast growth factor 21",15.3965444564819,15.4426679611206,15.0579118728638,16.2835330963135,16.2058773040771,15.7618160247803,15.6182136535645,16.1208515167236,16.1188201904297,15.9980220794678,15.7695302963257,16.2760887145996,16.249683380127,16.3599548339844,15.7283401489258,0.403663058005295,0.986278956908265,0.00600023281587292,-0.1517107486725,"Non-significant","FGF21_HUMAN","FGF21","Fibroblast growth factor 21"
"Alpha-2-HS-glycoprotein",27.0595016479492,27.2002468109131,27.0615940093994,27.8185520172119,27.9329319000244,27.580961227417,27.5197582244873,27.7552738189697,28.0978927612305,28.0355701446533,27.930383682251,28.0667552947998,28.0070533752441,28.2529144287109,27.9926204681396,0.242364901488009,0.917635544265979,0.0373297725483677,-0.125055789947474,"Non-significant","FETUA_HUMAN","AHSG","Alpha-2-HS-glycoprotein"
"Alpha-fetoprotein",24.546537399292,24.7394599914551,24.6738929748535,24.7559947967529,24.8629875183105,24.4762516021729,24.646577835083,24.4092273712158,24.5361022949219,24.7293071746826,24.7959079742432,24.4489078521729,24.5243186950684,24.5645351409912,24.5247974395752,0.338485085414294,0.967714195029126,0.0142528884036766,0.101996421813951,"Non-significant","FETA_HUMAN","AFP","Alpha-fetoprotein"
"F-box only protein 2",15.7281646728516,15.1919651031494,15.5982675552368,12.3980007171631,14.084189414978,15.9030199050903,14.9157772064209,13.3611860275269,13.4378366470337,13.715576171875,14.5784473419189,12.7359428405762,13.3011169433594,15.1435270309448,15.5762071609497,0.606984335523293,0.986278956908265,0.00600023281587292,-0.4159369468689,"Non-significant","FBX2_HUMAN","FBXO2","F-box only protein 2"
"EGF-containing fibulin-like extracellular matrix protein 1",17.3796653747559,17.8266544342041,17.5577335357666,17.7262783050537,17.7884502410889,17.5528335571289,17.8566436767578,17.7068405151367,17.8900680541992,17.9860591888428,17.6707878112793,17.6175899505615,17.5906753540039,17.8500709533691,17.7007789611816,0.24335286501811,0.917635544265979,0.0373297725483677,0.123660087585478,"Non-significant","FBLN3_HUMAN","EFEMP1","EGF-containing fibulin-like extracellular matrix protein 1"
"Fibulin-1",21.483512878418,21.5845546722412,21.4352474212646,21.7886657714844,21.859806060791,21.4923763275146,21.8561782836914,21.7978000640869,22.0427665710449,21.8342742919922,21.6665496826172,21.7177600860596,21.6975059509277,21.6921768188477,21.8227462768555,0.288461444293769,0.95109345172468,0.0217768084312751,0.102800369262678,"Non-significant","FBLN1_HUMAN","FBLN1","Fibulin-1"
"Fatty acid synthase",17.4216861724854,16.8035888671875,16.9514446258545,16.6543426513672,16.897668838501,18.1777801513672,17.4655895233154,16.3860969543457,15.8754444122314,16.7586135864258,17.4196147918701,16.2106819152832,16.589054107666,17.1309432983398,18.4403953552246,0.445710416054682,0.986278956908265,0.00600023281587292,-0.482826232910153,"Non-significant","FAS_HUMAN","FASN","Fatty acid synthase"
"Fumarylacetoacetate hydrolase domain-containing protein 2A",16.8861484527588,16.7827415466309,16.972261428833,16.4907703399658,16.621036529541,17.0925407409668,17.0402050018311,15.490008354187,15.4840488433838,16.0238704681396,16.4498558044434,15.8803701400757,16.3630523681641,16.2702045440674,16.718921661377,0.17904071145093,0.837622624928722,0.076951600492307,-0.4461913108826,"Non-significant","FAH2A_HUMAN","FAHD2A","Fumarylacetoacetate hydrolase domain-containing protein 2A"
"Fatty acid-binding protein, liver",23.6117458343506,23.4132671356201,23.6064128875732,22.7859668731689,23.1308422088623,23.8427619934082,23.4542274475098,22.2300682067871,22.0075969696045,23.1710224151611,23.4968852996826,21.8587284088135,22.3029022216797,22.7529602050781,23.2627868652344,0.711843280569562,0.993555423949802,0.00280790143369389,0.182048797607397,"Non-significant","FABPL_HUMAN","FABP1","Fatty acid-binding protein, liver"
"Fumarylacetoacetase",18.8341255187988,18.6992702484131,18.9507617950439,17.7987880706787,18.3690605163574,19.0545997619629,18.8262195587158,17.5716705322266,17.1312141418457,18.2180423736572,18.2939929962158,17.1179065704346,17.7942638397217,18.190746307373,18.7167625427246,0.741003758719668,0.993555423949802,0.00280790143369389,-0.151189804077152,"Non-significant","FAAA_HUMAN","FAH","Fumarylacetoacetase"
"Coagulation factor IX",19.3286304473877,19.6593685150146,19.6102542877197,19.68896484375,19.577033996582,19.3766212463379,19.6905059814453,19.6355018615723,19.572359085083,19.7846164703369,19.2691421508789,19.2961044311523,19.4511909484863,19.5383834838867,19.5683517456055,0.451808849040972,0.986278956908265,0.00600023281587292,0.101897239685073,"Non-significant","FA9_HUMAN","F9","Coagulation factor IX"
"Protein FAM53C",22.5246829986572,22.5403728485107,22.3549575805664,22.3895149230957,22.5454483032227,22.0265922546387,22.349193572998,22.0597362518311,22.4572467803955,22.3938808441162,22.8044509887695,22.1672897338867,22.2857360839844,22.1537799835205,22.3813037872314,0.328066167832535,0.967714195029126,0.0142528884036766,0.181801319122325,"Non-significant","FA53C_HUMAN","FAM53C","Protein FAM53C"
"Coagulation factor V",16.7773456573486,17.0789642333984,17.0934276580811,17.2794570922852,17.419713973999,17.0746955871582,17.4721126556396,17.2108898162842,17.3389282226563,17.3786849975586,17.3725852966309,17.372371673584,17.2252731323242,17.4105834960938,17.556095123291,0.441284658861524,0.986278956908265,0.00600023281587292,-0.0658087730407502,"Non-significant","FA5_HUMAN","F5","Coagulation factor V"
"Coagulation factor XII",15.5021734237671,16.1136913299561,14.8979444503784,16.6045303344727,15.8001613616943,15.5401554107666,16.2128047943115,16.5658645629883,16.6743717193604,16.4319362640381,15.8363389968872,16.8578720092773,16.6796169281006,16.6873207092285,17.2516479492188,0.0809862699295268,0.662692101623066,0.178688205570001,-0.4919865131378,"Non-significant","FA12_HUMAN","F12","Coagulation factor XII"
"Coagulation factor X",18.7144203186035,18.9923629760742,18.9872856140137,19.1121692657471,19.2195491790771,18.8023910522461,19.1173343658447,19.065242767334,19.0492668151855,19.2391510009766,18.6968650817871,19.0711688995361,19.1435375213623,19.244701385498,19.1286773681641,0.329392377848304,0.967714195029126,0.0142528884036766,-0.134389877319325,"Non-significant","FA10_HUMAN","F10","Coagulation factor X"
"Cyclin-dependent kinase 17 (Fragment)",16.3259258270264,16.0241947174072,12.7171058654785,17.5252990722656,17.9193572998047,17.8169460296631,17.9570789337158,15.1361141204834,13.6888246536255,15.3314628601074,15.5995206832886,17.5419502258301,17.2218894958496,17.5623321533203,17.7655448913574,0.00689905496516992,0.232989449349245,0.632663745038998,-2.58394861221312,"Non-significant","F8VZY6_HUMAN","CDK17","Cyclin-dependent kinase 17 (Fragment)"
"H2.0-like homeobox protein (Fragment)",22.9795475006104,23.0647449493408,22.7866477966309,20.2738609313965,23.1559276580811,22.8407802581787,22.9972152709961,22.5710411071777,22.8323020935059,23.0242671966553,23.083158493042,22.7551612854004,22.8810615539551,22.6405620574951,22.9065132141113,0.561054214103382,0.986278956908265,0.00600023281587292,0.081867694854747,"Non-significant","F8VWZ5_HUMAN","HLX","H2.0-like homeobox protein (Fragment)"
