HBV	HBV_pure_new	HDV	Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
16.9855	18.4549	15.548	P49720	P49720;A0A087WY10;A0A087WXQ8;A0A087WUL2	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3
17.2892	19.1551	18.3815	P49721	P49721;A0A087WVV1	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2
17.7739	18.2179	19.532	P49746	P49746;F5H4Z8	TSP3_HUMAN	THBS3	Thrombospondin-3
21.6935	22.0481	22.022	P49747	P49747;G3XAP6	COMP_HUMAN	COMP	Cartilage oligomeric matrix protein
17.7243	18.7777	NaN	P49748	P49748	ACADV_HUMAN	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial
15.6948	16.4804	NaN	P49753;Q86TX2	Q86TX2;P49753;A0A2R8Y7H3;A0A087X0W7;G3V4F2;A0A087WT95	ACOT1_HUMAN;ACOT2_HUMAN	ACOT1;ACOT2	Acyl-coenzyme A thioesterase 2, mitochondrial
15.8978	17.0056	14.1079	P49756	P49756	RBM25_HUMAN	RBM25	RNA-binding protein 25
18.1513	18.6799	14.1565	P49773	P49773;D6RE99;A0A6Q8PGQ8;D6REP8;D6RC06;H0YC49;D6RD60	HINT1_HUMAN	HINT1	Histidine triad nucleotide-binding protein 1
16.1085	17.2626	NaN	P49821	P49821;E9PMX3;E9PPR0;G3V0I5;E9PPS5;E9PQP1	NDUV1_HUMAN	NDUFV1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
16.9326	16.7387	14.6891	P49888	P49888;H0Y8G0	ST1E1_HUMAN	SULT1E1	Sulfotransferase 1E1
15.7249	17.0206	NaN	P49902	P49902;A0A6Q8PHP0;Q5JUV4;A0A6Q8PHB5	5NTC_HUMAN	NT5C2	Cytosolic purine 5'-nucleotidase
16.4908	17.7257	13.9493	P49908	P49908;A0A182DWH7	SEPP1_HUMAN	SELENOP	Selenoprotein P
16.8383	18.4077	NaN	P49915	P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing]
14.2141	15.7701	NaN	P50213	P50213;H0YMU3;H0YKD0;H0YL72;H0YLI6	IDH3A_HUMAN	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial
12.3221	17.0614	NaN	P50225	P50226;P50225;H3BQX5;E9PM76;H3BRY5;E9PKR8;E9PKW4	ST1A1_HUMAN	SULT1A1	Sulfotransferase 1A1
19.1656	19.3585	16.5327	P50395	P50395	GDIB_HUMAN	GDI2	Rab GDP dissociation inhibitor beta
18.644	18.9569	18.8649	P50454	P50454;E9PJH8;E9PKH2	SERPH_HUMAN	SERPINH1	Serpin H1
18.2691	18.763	16.5784	P50502;Q8IZP2	Q8IZP2;P50502;Q3KNR6;F6VDH7;H7C3I1	F10A1_HUMAN;ST134_HUMAN	ST13;ST13P4	Hsc70-interacting protein
17.0379	18.1427	16.8202	P50552	P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein
17.2638	19.002	NaN	P50570	P50570;Q05193;A0A0D9SFB1;A0A0D9SFE4;A0A1B0GUX5;A0A0U1RQP1;A0A1B0GU67	DYN2_HUMAN	DNM2	Dynamin-2
17.1096	17.7047	NaN	P50570;Q9UQ16	Q9UQ16;P50570;Q05193;A0A0D9SFB1;A0A0D9SFE4;A0A1B0GUX5;A0A0U1RQP1;E5RHK8	DYN2_HUMAN;DYN3_HUMAN	DNM2;DNM3	Dynamin-2
14.093	15.6105	NaN	P50851;Q8NFP9	Q8NFP9;P50851;A0A0D9SF28;A0A494C0R9;F5GXV7;E9PEM5;A0A494C1L5;Q5T321	LRBA_HUMAN;NBEA_HUMAN	LRBA;NBEA	Lipopolysaccharide-responsive and beige-like anchor protein
17.359	17.7086	18.3361	P50895	P50895;A0A087WXM8	BCAM_HUMAN	BCAM	Basal cell adhesion molecule
14.522	15.9462	NaN	P50897	P50897;A0A2C9F2P4;A0A286YFF7;E9PSE5;E9PIA8	PPT1_HUMAN	PPT1	Palmitoyl-protein thioesterase 1
18.2369	18.2738	15.9677	P50914	P50914;E7EPB3	RL14_HUMAN	RPL14	60S ribosomal protein L14
19.2809	19.7059	18.33	P50990	P50990;H7C4C8	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta
19.3149	19.8761	17.9691	P50991	P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta
17.1367	16.9695	15.06	P50995	P27216;P50995;E5RIN3	ANX11_HUMAN	ANXA11	Annexin A11
17.8702	18.5134	16.9019	P51148	P51148;K7ENY4;K7ERI8;K7ERQ8	RAB5C_HUMAN	RAB5C	Ras-related protein Rab-5C
17.8711	18.5307	16.9198	P51149	P51149;A0A6Q8PH84;C9J4V0;C9J7D1;C9J592;C9J8S3;A0A6Q8PG52;C9IZZ0;C9J4S4	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a
NaN	13.5623	NaN	P51151;Q9NP90	P51151;Q9NP90;A0A1B0GUI0	RAB9A_HUMAN;RAB9B_HUMAN	RAB9A;RAB9B	Ras-related protein Rab-9A
NaN	14.8399	NaN	P51532	P51532;A0A2R8Y4P4;A0A2R8Y7S2;A0A2R8YGG3;A0A0A0MT49;A0A2R8YGP5;Q9HBD4	SMCA4_HUMAN	SMARCA4	Transcription activator BRG1
19.5903	20.3675	19.184	P51570	P51570;K7EII7	GALK1_HUMAN	GALK1	Galactokinase
NaN	15.8616	NaN	P51610	P51610;A6NEM2	HCFC1_HUMAN	HCFC1	Host cell factor 1
16.7114	18.3668	NaN	P51649	P51649;C9J8Q5;A0A5F9ZI23	SSDH_HUMAN	ALDH5A1	Succinate-semialdehyde dehydrogenase, mitochondrial
23.22	22.9999	20.4514	P51654	P51654	GPC3_HUMAN	GPC3	Glypican-3
18.6528	19.2392	NaN	P51659	P51659;A0A2R8YDT8;A0A2R8YF45;A0A2R8YD50;E7ER27;A0A2R8YEG2	DHB4_HUMAN	HSD17B4	Peroxisomal multifunctional enzyme type 2
16.0506	17.45	NaN	P51665	P51665	PSMD7_HUMAN	PSMD7	26S proteasome non-ATPase regulatory subunit 7
15.3039	15.75	17.7163	P51692	P42229;P51692;K7EK35	STA5B_HUMAN	STAT5B	Signal transducer and activator of transcription 5B
15.1835	16.4961	15.5942	P51812	P51812;A0A2R8Y603;B4DG22;B1AXG1;B7ZB17	KS6A3_HUMAN	RPS6KA3	Ribosomal protein S6 kinase alpha-3
22.7914	22.7863	21.6615	P51884	P51884	LUM_HUMAN	LUM	Lumican
16.2708	16.3108	NaN	P51991	P51991	ROA3_HUMAN	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3
18.5101	19.1613	16.5304	P52209	P52209;K7EM49;K7EMN2;K7EPF6	6PGD_HUMAN	PGD	6-phosphogluconate dehydrogenase, decarboxylating
15.4383	16.2016	NaN	P52272	P52272;M0R019;M0R2T0;A0A087X0X3	HNRPM_HUMAN	HNRNPM	Heterogeneous nuclear ribonucleoprotein M
NaN	14.6447	NaN	P52434	P52434;C9JLU1	RPAB3_HUMAN	POLR2H	DNA-directed RNA polymerases I, II, and III subunit RPABC3
15.4896	15.025	NaN	P52565	P52565;J3QQX2;J3KRY1;J3KRE2;J3KTF8;J3KS60	GDIR1_HUMAN	ARHGDIA	Rho GDP-dissociation inhibitor 1
17.0008	17.9526	NaN	P52597	P52597	HNRPF_HUMAN	HNRNPF	Heterogeneous nuclear ribonucleoprotein F
14.2817	16.5797	16.2366	P52789	P52789;E9PB90	HXK2_HUMAN	HK2	Hexokinase-2
14.6097	14.5654	NaN	P52848	P52848;E7EVJ3	NDST1_HUMAN	NDST1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
13.1114	14.809	NaN	P52888	P52888;K7EMU4;K7EP46	THOP1_HUMAN	THOP1	Thimet oligopeptidase
16.8136	18.009	NaN	P52895	P52895;Q04828;B4DK69;H0Y804;S4R3P0	AK1C2_HUMAN	AKR1C2	Aldo-keto reductase family 1 member C2
17.3692	18.4973	15.6532	P52907	P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1
18.184	18.9778	16.5528	P52926	P52926;F5H2U8;F5H6H0;F5H2A4	HMGA2_HUMAN	HMGA2	High mobility group protein HMGI-C
18.8269	19.9674	NaN	P53004	P53004	BIEA_HUMAN	BLVRA	Biliverdin reductase A
14.732	14.22	NaN	P53367	P53367	ARFP1_HUMAN	ARFIP1	Arfaptin-1
19.0492	20.0608	17.8866	P53396	P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase
17.3964	19.1007	17.4723	P53618	P53618	COPB_HUMAN	COPB1	Coatomer subunit beta
18.5847	19.8239	18.8433	P53621	P53621;A0A3B3ISK1;A0A3B3IU78;A0A3B3ITV3;A0A3B3IS84;A0A3B3IT15;A0A3B3ISC6	COPA_HUMAN	COPA	Coatomer subunit alpha
16.8348	17.5472	NaN	P53634	P53634	CATC_HUMAN	CTSC	Dipeptidyl peptidase 1
17.6572	18.4388	15.993	P53992	P53992;G5EA31	SC24C_HUMAN	SEC24C	Protein transport protein Sec24C
20.8765	21.5036	18.0016	P53999	P53999	TCP4_HUMAN	SUB1	Activated RNA polymerase II transcriptional coactivator p15
19.1353	20.0188	15.9815	P54136	P54136	SYRC_HUMAN	RARS1	Arginine--tRNA ligase, cytoplasmic
18.0257	18.2975	17.9004	P54289	P54289;H0Y715	CA2D1_HUMAN	CACNA2D1	Voltage-dependent calcium channel subunit alpha-2/delta-1
14.8702	16.5093	NaN	P54577	P54577;A0A6Q8PFX2	SYYC_HUMAN	YARS1	Tyrosine--tRNA ligase, cytoplasmic
15.9714	17.7317	NaN	P54578	P54578;A6NJA2	UBP14_HUMAN	USP14	Ubiquitin carboxyl-terminal hydrolase 14
13.5731	16.0549	NaN	P54619	P54619;H0YIC9;F8VYY9;H0YHF8;F8VZX1	AAKG1_HUMAN	PRKAG1	5'-AMP-activated protein kinase subunit gamma-1
12.856	15.2521	NaN	P54727	P54727;H0Y579	RD23B_HUMAN	RAD23B	UV excision repair protein RAD23 homolog B
13.0989	16.1935	NaN	P54886	P54886	P5CS_HUMAN	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase
14.3474	15.5264	NaN	P54920	P54920;M0R2M1;M0R0Y2	SNAA_HUMAN	NAPA	Alpha-soluble NSF attachment protein
NaN	14.6953	18.0749	P55001	P55001	MFAP2_HUMAN	MFAP2	Microfibrillar-associated protein 2
21.2157	21.1107	18.822	P55010	P55010;H0YLZ1;H0YN40	IF5_HUMAN	EIF5	Eukaryotic translation initiation factor 5
13.4461	15.0559	NaN	P55036	P55036;A6PVX3;Q5VWC4	PSMD4_HUMAN	PSMD4	26S proteasome non-ATPase regulatory subunit 4
19.5341	19.5368	20.3416	P55058	P55058	PLTP_HUMAN	PLTP	Phospholipid transfer protein
17.9886	19.1133	16.682	P55060	P55060	XPO2_HUMAN	CSE1L	Exportin-2
22.2357	22.0497	21.3963	P55072	P55072	TERA_HUMAN	VCP	Transitional endoplasmic reticulum ATPase
15.791	16.1292	NaN	P55084	P55084;C9JEY0;C9K0M0;C9JE81;B5MD38	ECHB_HUMAN	HADHB	Trifunctional enzyme subunit beta, mitochondrial
16.2235	17.4976	17.2197	P55157	P55157;E9PBP6	MTP_HUMAN	MTTP	Microsomal triglyceride transfer protein large subunit
18.2972	18.7138	17.9055	P55209	P55209;H0YH88;F5H4R6;F8W543;F8VRJ2;F8W0J6;F8VVB5;F8VV59;H0YHC3;F8W118;F8W020;F8VY35;H0YIV4;B7Z9C2	NP1L1_HUMAN	NAP1L1	Nucleosome assembly protein 1-like 1
14.2006	16.1488	NaN	P55212	P55212	CASP6_HUMAN	CASP6	Caspase-6
18.872	19.2937	16.6816	P55263	P55263;A0A5F9ZHJ1	ADK_HUMAN	ADK	Adenosine kinase
19.0718	19.4534	18.5397	P55268	P55268;F5H520	LAMB2_HUMAN	LAMB2	Laminin subunit beta-2
17.6161	16.9192	17.8399	P55285	P55285;D6RF86	CADH6_HUMAN	CDH6	Cadherin-6
18.4484	18.771	19.3422	P55287	P55287;H3BUU9;H3BQH2	CAD11_HUMAN	CDH11	Cadherin-11
15.9973	NaN	17.3698	P55290	P55290	CAD13_HUMAN	CDH13	Cadherin-13
15.7703	16.5865	NaN	P55735	P55735;A8MXL6;E7ERC8	SEC13_HUMAN	SEC13	Protein SEC13 homolog
16.2265	17.3702	NaN	P55769	P55769;A0A3B3IUA2;A0A3B3IRU2;B1AHD1	NH2L1_HUMAN	SNU13	NHP2-like protein 1
17.272	18.0475	15.3428	P55786	P55786;H0YDG0;E9PLK3	PSA_HUMAN	NPEPPS	Puromycin-sensitive aminopeptidase
14.1385	13.3506	NaN	P55854;P61956;Q6EEV6	P61956;Q6EEV6;P55854;A8MU27;A8MUA9	SUMO2_HUMAN;SUMO3_HUMAN;SUMO4_HUMAN	SUMO2;SUMO3;SUMO4	Small ubiquitin-related modifier 3
17.4317	18.373	15.9817	P55884	P55884;C9JZG1;C9JQN7	EIF3B_HUMAN	EIF3B	Eukaryotic translation initiation factor 3 subunit B
16.4191	17.4453	NaN	P56192	P56192;H0YI94;H0YHL6;H0YIP0;H0YI27	SYMC_HUMAN	MARS1	Methionine--tRNA ligase, cytoplasmic
14.512	15.9817	NaN	P56377	P56377;A0A5F9ZHW1;A0A5F9ZI43;A6NH01;A0A5F9ZHX2;H7BZG6;H0Y673	AP1S2_HUMAN	AP1S2	AP-1 complex subunit sigma-2
17.9203	19.1617	16.2551	P56537	P56537;A0A0U1RQV5	IF6_HUMAN	EIF6	Eukaryotic translation initiation factor 6
16.924	17.2234	17.4038	P58166	P58166;F8VNP4	INHBE_HUMAN	INHBE	Inhibin beta E chain
13.9437	15.082	NaN	P58546	P58546;C9JL85	MTPN_HUMAN	MTPN	Myotrophin
18.3416	19.8051	17.7449	P59998	P59998;F8WDD7;A0A0A6YYG9;F8WCF6;H7C0A3	ARPC4_HUMAN	ARPC4	Actin-related protein 2/3 complex subunit 4
NaN	17.9815	13.4019	P60033	P60033;E9PRJ8;E9PJK1;H0YDL9;H0YDJ9;A6NMH8;E9PIF1	CD81_HUMAN	CD81	CD81 antigen
19.5176	19.8487	17.9888	P60174	P60174;U3KPZ0;U3KQF3	TPIS_HUMAN	TPI1	Triosephosphate isomerase
17.3203	18.3392	17.3014	P60228	P60228;E5RHS5;E5RGA2	EIF3E_HUMAN	EIF3E	Eukaryotic translation initiation factor 3 subunit E
18.9032	19.2761	18.6665	P60660	P60660;G3V1Y7;F8W1R7;J3KND3;G8JLA2;G3V1V0;H0YI43;B7Z6Z4;F8VZU9;F8VPF3;F8W180	MYL6_HUMAN	MYL6	Myosin light polypeptide 6
23.6482	23.5904	22.3376	P60709;P63261	P60709;P63261;I3L3I0;I3L4N8;K7EM38;E7EVS6;I3L1U9;A0A6Q8PH58;A0A2R8YGF8;I3L3R2;A0A2R8Y793;G5E9R0;A0A6Q8PFE4;J3KT65	ACTB_HUMAN;ACTG_HUMAN	ACTB;ACTG1	Actin, cytoplasmic 1
18.0037	18.5685	16.7877	P60842	P60842;J3QR64;J3KSZ0;J3QLN6;J3QKZ9;J3KT12;J3QS69;J3QL43;J3KTB5;J3KS25	IF4A1_HUMAN	EIF4A1	Eukaryotic initiation factor 4A-I
19.8185	20.8554	18.986	P60842;Q14240	P60842;Q14240;E7EQG2	IF4A1_HUMAN;IF4A2_HUMAN	EIF4A1;EIF4A2	Eukaryotic initiation factor 4A-I
17.0014	17.4507	12.832	P60866	P60866;E5RJX2	RS20_HUMAN	RPS20	40S ribosomal protein S20
17.2123	17.4873	NaN	P60891	P60891;P21108;P11908;B1ALA9;A0A2R8Y7H4;A6NMS2;B1ALA7;D3YTJ7;A0A6Q8PFD1;A0A6Q8PHK9;A0A6Q8PFD7;A0A0B4J207	PRPS1_HUMAN	PRPS1	Ribose-phosphate pyrophosphokinase 1
17.4384	19.1525	16.4549	P60900	P60900;G3V3I1;G3V295;G3V5Z7	PSA6_HUMAN	PSMA6	Proteasome subunit alpha type-6
18.9425	19.1519	14.9076	P60953	P60953	CDC42_HUMAN	CDC42	Cell division control protein 42 homolog
16.8702	17.0616	NaN	P60953;P63000	P63000;P60763;P15153;P60953;P84095;P17081;Q9H4E5;G3V4H1;A0A590UJK8;A0A3B3IRV0;A0A494BZX6;B1AH78;Q5JYX0;A0A494C1M1;G3V476;F8WET9;B1AH79	CDC42_HUMAN;RAC1_HUMAN	CDC42;RAC1	Cell division control protein 42 homolog
19.2102	19.3072	18.8019	P61006;P62820;Q92930;Q9H0U4	P61026;Q92930;Q9H0U4;P62820;Q92928;P51153;P59190;P61006;E9PLD0;H0YNE9;H0YMN7;G3V196;H0YL94;E7END7;A0A2R8YFB8;A0A2R8YDI9;H0YLJ8	RAB1A_HUMAN;RAB1B_HUMAN;RAB8A_HUMAN;RAB8B_HUMAN	RAB1A;RAB1B;RAB8A;RAB8B	Ras-related protein Rab-8A
16.1071	17.1222	15.2823	P61019;Q8WUD1	P61019;Q8WUD1;E9PE37;A0A3B3ITL1;H0YD31;E9PKL7	RAB2A_HUMAN;RAB2B_HUMAN	RAB2A;RAB2B	Ras-related protein Rab-2A
15.7771	17.0646	NaN	P61020	P61020	RAB5B_HUMAN	RAB5B	Ras-related protein Rab-5B
16.4503	16.5607	15.1154	P61077;P62837	P61077;P62837;D6RFM0;A0A0A0MQU3;H9KV45;D6RAW0;D6RAH7;A0A087WY85	UB2D2_HUMAN;UB2D3_HUMAN	UBE2D2;UBE2D3	Ubiquitin-conjugating enzyme E2 D3
15.5994	16.6041	15.6524	P61081	P61081	UBC12_HUMAN	UBE2M	NEDD8-conjugating enzyme Ubc12
17.5612	17.8918	17.3286	P61088;Q5JXB2	Q5JXB2;P61088;F8VQQ8	UBE2N_HUMAN;UE2NL_HUMAN	UBE2N;UBE2NL	Ubiquitin-conjugating enzyme E2 N
16.1073	17.3091	NaN	P61106	P61106	RAB14_HUMAN	RAB14	Ras-related protein Rab-14
18.0848	19.184	16.7965	P61158	P61158;B4DXW1	ARP3_HUMAN	ACTR3	Actin-related protein 3
15.7499	16.869	NaN	P61160	P61160;A0A1B0GWH0;A0A1B0GWD0	ARP2_HUMAN	ACTR2	Actin-related protein 2
18.164	18.6017	NaN	P61163	P61163;P42025;R4GMT0;A0A1B0GVS3	ACTZ_HUMAN	ACTR1A	Alpha-centractin
NaN	14.0081	NaN	P61201	P61201;H0YKU5	CSN2_HUMAN	COPS2	COP9 signalosome complex subunit 2
19.5865	20.0071	19.1528	P61204;P84077	P84077;P61204;H0YGG7	ARF1_HUMAN;ARF3_HUMAN	ARF1;ARF3	ADP-ribosylation factor 3
16.2114	16.8443	NaN	P61221	P61221	ABCE1_HUMAN	ABCE1	ATP-binding cassette sub-family E member 1
20.9151	21.0857	18.9483	P61224	P61224;P62834;F5GYB5;F5GYH7;F5H500;F5H4H0;F5H6R7;F5H7Y6;A0A075B6Q0;F5GX62;F5H004;E7ESV4;F5H0B7;F5H491;F5GWU8;F5H077	RAP1B_HUMAN	RAP1B	Ras-related protein Rap-1b
17.9133	18.5841	17.4008	P61247	P61247;D6RAS7;D6RAT0;D6RED7;E9PFI5;D6RB09;D6RI02;H0Y8L7;D6RGE0;D6RG13	RS3A_HUMAN	RPS3A	40S ribosomal protein S3a
16.5212	17.5771	14.0661	P61254;Q9UNX3	P61254;Q9UNX3;E5RIT6;J3KS10;J3QQQ9;J3QQV1;J3QRI7;J3QRC4	RL26L_HUMAN;RL26_HUMAN	RPL26;RPL26L1	60S ribosomal protein L26
16.8167	17.3166	NaN	P61289	P61289;K7ESG5;K7EKR3;B3KQ25;K7EPX6;K7ENH2;K9J957;K7EMD0	PSME3_HUMAN	PSME3	Proteasome activator complex subunit 3
17.58	17.943	15.6692	P61313	P61313;A0A2R8YEM3;E7ENU7;A0A2R8Y738;E7EX53;E7EQV9	RL15_HUMAN	RPL15	60S ribosomal protein L15
17.0464	17.8325	14.4262	P61326;Q96A72	Q96A72;P61326;F5H6P7	MGN2_HUMAN;MGN_HUMAN	MAGOH;MAGOHB	Protein mago nashi homolog
16.917	17.9311	NaN	P61353	P61353;K7ELC7	RL27_HUMAN	RPL27	60S ribosomal protein L27
19.3447	19.5596	16.5058	P61604	P61604;B8ZZ54	CH10_HUMAN	HSPE1	10 kDa heat shock protein, mitochondrial
19.3328	20.8324	21.5108	P61626	P61626;A0A0B4J259;F8VV32	LYSC_HUMAN	LYZ	Lysozyme C
NaN	14.3881	NaN	P61769	P61769;F5H6I0;H0YLF3	B2MG_HUMAN	B2M	Beta-2-microglobulin
15.1976	16.4557	NaN	P61923	P61923;F8VXR1;F8VYZ4;F8VVA7;F8W156;F8VUC5;F8VXB1	COPZ1_HUMAN	COPZ1	Coatomer subunit zeta-1
15.2186	15.4651	15.2944	P61964	P61964	WDR5_HUMAN	WDR5	WD repeat-containing protein 5
13.3907	15.7759	17.0742	P61966	P61966;H7C1E4;A0A2R8YGH5	AP1S1_HUMAN	AP1S1	AP-1 complex subunit sigma-1A
19.1642	19.3281	16.667	P61970	P61970;H3BRV9	NTF2_HUMAN	NUTF2	Nuclear transport factor 2
18.6455	19.3601	17.8807	P61978	P61978;Q5T6W2	HNRPK_HUMAN	HNRNPK	Heterogeneous nuclear ribonucleoprotein K
18.6793	19.0923	16.2257	P61981	P61981	1433G_HUMAN	YWHAG	14-3-3 protein gamma
17.1999	18.3225	14.97	P62081	P62081;A0A2R8Y623	RS7_HUMAN	RPS7	40S ribosomal protein S7
16.0172	17.4668	15.5228	P62136	P62136	PP1A_HUMAN	PPP1CA	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
17.105	17.3396	NaN	P62140	P62140	PP1B_HUMAN	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit
18.3669	19.3968	17.8311	P62191	P62191	PRS4_HUMAN	PSMC1	26S proteasome regulatory subunit 4
18.8966	19.7498	17.4807	P62195	P62195;J3QLH6;J3KRP2;J3QQM1;J3QSA9;J3QRR3	PRS8_HUMAN	PSMC5	26S proteasome regulatory subunit 8
17.1696	17.9517	NaN	P62241	P62241;Q5JR95	RS8_HUMAN	RPS8	40S ribosomal protein S8
16.9731	18.3618	16.9535	P62244	P62244;H3BVC7;I3L3P7	RS15A_HUMAN	RPS15A	40S ribosomal protein S15a
19.0338	19.9171	17.4016	P62249	P62249;M0R210	RS16_HUMAN	RPS16	40S ribosomal protein S16
19.1194	19.2918	18.0962	P62258	P62258;K7EM20	1433E_HUMAN	YWHAE	14-3-3 protein epsilon
18.5321	19.226	17.2756	P62263	P62263;A0A2R8Y811;E5RH77	RS14_HUMAN	RPS14	40S ribosomal protein S14
17.0914	17.7211	16.0261	P62266	P62266	RS23_HUMAN	RPS23	40S ribosomal protein S23
19.2203	20.1212	18.4125	P62269	P62269;J3JS69	RS18_HUMAN	RPS18	40S ribosomal protein S18
18.6553	19.5984	15.7481	P62277	P62277;J3KMX5;E9PS50	RS13_HUMAN	RPS13	40S ribosomal protein S13
17.5304	18.6464	15.293	P62280	P62280;M0R1H6;M0QZC5	RS11_HUMAN	RPS11	40S ribosomal protein S11
16.1539	17.1498	NaN	P62304	P62304	RUXE_HUMAN	SNRPE	Small nuclear ribonucleoprotein E
16.1867	17.0154	NaN	P62306	P62306	RUXF_HUMAN	SNRPF	Small nuclear ribonucleoprotein F
16.9658	17.4797	13.0572	P62310	P62310	LSM3_HUMAN	LSM3	U6 snRNA-associated Sm-like protein LSm3
15.7301	16.495	NaN	P62312	P62312	LSM6_HUMAN	LSM6	U6 snRNA-associated Sm-like protein LSm6
18.3796	19.2496	16.6624	P62314	P62314;J3QLI9	SMD1_HUMAN	SNRPD1	Small nuclear ribonucleoprotein Sm D1
18.1583	18.7984	14.1403	P62316	P62316;K7ERG4	SMD2_HUMAN	SNRPD2	Small nuclear ribonucleoprotein Sm D2
19.6598	20.2776	17.8356	P62318	P62318;H3BT13	SMD3_HUMAN	SNRPD3	Small nuclear ribonucleoprotein Sm D3
15.1922	16.613	NaN	P62330	P62330	ARF6_HUMAN	ARF6	ADP-ribosylation factor 6
18.1541	19.2705	16.509	P62333	P62333;H0YJS8;A0A087X2I1;H0YJC0	PRS10_HUMAN	PSMC6	26S proteasome regulatory subunit 10B
16.4831	17.0784	15.0151	P62424	P62424;Q5T8U3	RL7A_HUMAN	RPL7A	60S ribosomal protein L7a
16.4634	18.3218	15.1423	P62495	P62495;B7Z7P8	ERF1_HUMAN	ETF1	Eukaryotic peptide chain release factor subunit 1
17.5779	18.9348	17.7929	P62701	Q8TD47;P62701	RS4X_HUMAN	RPS4X	40S ribosomal protein S4, X isoform
18.1589	16.3848	NaN	P62750	P62750;A8MUS3;H7BY10;K7EJV9;K7ERT8;K7EMA7	RL23A_HUMAN	RPL23A	60S ribosomal protein L23a
17.1051	17.5211	NaN	P62753	P62753;A2A3R7	RS6_HUMAN	RPS6	40S ribosomal protein S6
25.821	25.5113	24.3274	P62805	P62805	H4_HUMAN	H4C1	Histone H4
14.1031	12.8245	NaN	P62820	P62820;E7END7	RAB1A_HUMAN	RAB1A	Ras-related protein Rab-1A
18.9856	19.6476	18.8328	P62820;Q9H0U4	Q9H0U4;P62820;Q92928;E9PLD0;E7END7	RAB1A_HUMAN;RAB1B_HUMAN	RAB1A;RAB1B	Ras-related protein Rab-1A
20.4239	20.8062	19.0819	P62826	P62826;F5H018;H0YFC6;B5MDF5;J3KQE5	RAN_HUMAN	RAN	GTP-binding nuclear protein Ran
15.7655	17.2421	16.4136	P62829	P62829;J3KT29;C9JD32;B9ZVP7	RL23_HUMAN	RPL23	60S ribosomal protein L23
14.2146	14.2375	NaN	P62847	P62847;A0A2R8Y849;E7ETK0;A0A2R8Y8A0;A0A2R8YD14	RS24_HUMAN	RPS24	40S ribosomal protein S24
18.8975	19.6665	NaN	P62851	P62851	RS25_HUMAN	RPS25	40S ribosomal protein S25
17.9732	19.0834	16.6505	P62854	Q5JNZ5;P62854	RS26_HUMAN	RPS26	40S ribosomal protein S26
17.043	16.3103	14.0215	P62857	P62857	RS28_HUMAN	RPS28	40S ribosomal protein S28
17.1415	17.8184	15.1108	P62873	P62873;B3KVK2	GBB1_HUMAN	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
15.917	16.6067	NaN	P62873;P62879	P62879;P62873;P16520;C9JIS1;C9JZN1;F5H8J8;F6UT28;F5H100;B1AKQ8;E7EP32;C9JXA5;F5H0S8;F6X3N5;E9PCP0	GBB1_HUMAN;GBB2_HUMAN	GNB1;GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
18.7479	19.381	17.5622	P62873;P62879;Q9HAV0	P62879;P62873;P16520;Q9HAV0;A0A6Q8PG88;C9JIS1;C9JZN1;F5H8J8;C9JD14;A0A6Q8PFW8;F6UT28;F5H100;B1AKQ8;H7C5J5;E7EP32;C9JXA5;A0A6Q8PFE0;F5H0S8;F6X3N5;A0A6Q8PFV8;E9PCP0	GBB1_HUMAN;GBB2_HUMAN;GBB4_HUMAN	GNB1;GNB2;GNB4	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
15.7098	17.0606	NaN	P62877	P62877	RBX1_HUMAN	RBX1	E3 ubiquitin-protein ligase RBX1
15.1515	16.5065	NaN	P62879	P62879;C9JIS1;E7EP32;C9JXA5	GBB2_HUMAN	GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2
18.155	19.4984	NaN	P62888	P62888;E5RI99;A0A0C4DH44;A0A0B4J213	RL30_HUMAN	RPL30	60S ribosomal protein L30
16.2798	15.4544	NaN	P62899	P62899;B7Z4E3;C9JU56;B7Z4C8;B8ZZK4;H7C2W9	RL31_HUMAN	RPL31	60S ribosomal protein L31
